Cytokine 	(SNPs, cytokine p-value, survival p-value)
CD40L	('rs4926884', 2.38e-05, 2.465e-05)	('rs10497319', 1.029e-07, 2.834e-05)	
EGF	
Elastase2_HW	
EOTAXIN	
FGF2	('rs4926884', 3.935e-05, 2.465e-05)	
FLT3L	
FRACTALKINE	('rs4952913', 7.632e-06, 3.745e-05)	
GCSF	
GMCSF	
GranzymeB_HW	
GRO	('rs4952913', 2.981e-11, 3.745e-05)	('rs3920487', 2.199e-07, 2.603e-05)	('rs12985626', 2.167e-05, 2.441e-05)	
HSP70_HW	
IFNA2	
IFNG	('rs4952913', 1.037e-15, 3.745e-05)	('rs3920487', 4.841e-10, 2.603e-05)	
IL10	
IL12P40	
IL12P70	
IL13	
IL15	
IL17	('rs4926884', 2.352e-09, 2.465e-05)	
IL1A	('rs4952913', 6.823e-06, 3.745e-05)	
IL1a_HW	
IL1B	('rs4952913', 2.189e-14, 3.745e-05)	('rs11759038', 3.166e-05, 4.68e-05)	('rs3920487', 6.541e-09, 2.603e-05)	('rs12985626', 1.005e-05, 2.441e-05)	
IL1RA	('rs4926884', 6.063e-06, 2.465e-05)	
IL2	('rs4926884', 6.07e-06, 2.465e-05)	
IL2RA	
IL3	
IL4	
IL5	
IL6	
IL7	
IL8	
IL8_HW	
IL9	
IP10	
Lactoferrin_HW	
MCP1	('rs4926884', 3.007e-05, 2.465e-05)	
MCP3	('rs4926884', 3.848e-07, 2.465e-05)	('rs4952913', 1.448e-05, 3.745e-05)	
MDC	
MIP1A	('rs4952913', 1.168e-14, 3.745e-05)	('rs3920487', 3.374e-08, 2.603e-05)	
MIP1a_HW	
MIP1B	('rs4952913', 3.907e-14, 3.745e-05)	('rs3920487', 1.059e-06, 2.603e-05)	
MIP1b_HW	
MMP8_HW	
NGAL_HW	
Resistin_HW	
TGFA	('rs4926884', 1.212e-06, 2.465e-05)	
Thrombospondin1_HW	
TNFA	('rs4952913', 9.045e-16, 3.745e-05)	('rs3920487', 7.151e-10, 2.603e-05)	
TNFB	
VEGF	
